pmid,doi,annee,modele,theme,themes_secondaires,journal,titre,url,fichier
34196262,10.1080/15287394.2021.1944944,2021,dosimetrie_modelisation,genotoxicite_epigenetique,apoptose_mitochondrie;dosimetrie_exposition,Journal of toxicology and environmental health. Part A,Exposure to long-term evolution radiofrequency electromagnetic fields decreases neuroblastoma cell proliferation via Akt/mTOR-mediated cellular senescence.,https://pubmed.ncbi.nlm.nih.gov/34196262/,dosimetrie_modelisation/genotoxicite_epigenetique/2021_34196262_exposure-to-long-term-evolution-radiofrequency-ele.md
28844241,10.1016/j.mrgentox.2017.08.001,2017,dosimetrie_modelisation,genotoxicite_epigenetique,neurodeveloppement;cancer,Mutation research. Genetic toxicology and environmental mutagenesis,Is mobile phone radiation genotoxic? An analysis of micronucleus frequency in exfoliated buccal cells.,https://pubmed.ncbi.nlm.nih.gov/28844241/,dosimetrie_modelisation/genotoxicite_epigenetique/2017_28844241_is-mobile-phone-radiation-genotoxic-an-analysis-of.md
26476436,10.1093/mutage/gev071,2015,dosimetrie_modelisation,genotoxicite_epigenetique,cancer;dosimetrie_exposition,Mutagenesis,Exposure to 915 MHz radiation induces micronuclei in Vicia faba root tips.,https://pubmed.ncbi.nlm.nih.gov/26476436/,dosimetrie_modelisation/genotoxicite_epigenetique/2015_26476436_exposure-to-915-mhz-radiation-induces-micronuclei.md
15785322,10.1097/00008469-200504000-00014,2005,dosimetrie_modelisation,genotoxicite_epigenetique,dosimetrie_exposition,European journal of cancer prevention : the official journal of the European Cancer Prevention Organisation (ECP),Genotoxicity evaluation of electromagnetic fields generated by 835-MHz mobile phone frequency band.,https://pubmed.ncbi.nlm.nih.gov/15785322/,dosimetrie_modelisation/genotoxicite_epigenetique/2005_15785322_genotoxicity-evaluation-of-electromagnetic-fields.md
40040200,10.1109/EMBC53108.2024.10782684,2024,dosimetrie_modelisation,neuro_comportement_cognition,dosimetrie_exposition,Annual International Conference of the IEEE Engineering in Medicine and Biology Society. IEEE Engineering in Medicine and Biology Society. Annual International Conference,Cerebral Blood Flow Monitoring with a Portable Radio Frequency Sensing System.,https://pubmed.ncbi.nlm.nih.gov/40040200/,dosimetrie_modelisation/neuro_comportement_cognition/2024_40040200_cerebral-blood-flow-monitoring-with-a-portable-rad.md
21873111,10.1016/j.clinph.2011.06.019,2011,dosimetrie_modelisation,neuro_comportement_cognition,eeg_sommeil,Clinical neurophysiology : official journal of the International Federation of Clinical Neurophysiology,Mobile phone emission modulates event-related desynchronization of α rhythms and cognitive-motor performance in healthy humans.,https://pubmed.ncbi.nlm.nih.gov/21873111/,dosimetrie_modelisation/neuro_comportement_cognition/2011_21873111_mobile-phone-emission-modulates-event-related-desy.md
42426191,10.1038/s41598-026-60822-1,2026,dosimetrie_modelisation,neurodeveloppement,dosimetrie_exposition,Scientific reports,Environmental radiofrequency exposure and genotoxic biomarkers in schoolchildren: a cross-sectional analysis.,https://pubmed.ncbi.nlm.nih.gov/42426191/,dosimetrie_modelisation/neurodeveloppement/2026_42426191_environmental-radiofrequency-exposure-and-genotoxi.md
36786436,10.1002/bem.22434,2023,dosimetrie_modelisation,neurodeveloppement,dosimetrie_exposition,Bioelectromagnetics,Radiofrequency Exposure Levels in Greece.,https://pubmed.ncbi.nlm.nih.gov/36786436/,dosimetrie_modelisation/neurodeveloppement/2023_36786436_radiofrequency-exposure-levels-in-greece.md
36793358,10.3389/fgwh.2022.1039477,2023,dosimetrie_modelisation,neurodeveloppement,,Frontiers in global women's health,"Preventing stillbirth from obstructed labor: A sensorized, low-cost device to train in safer operative birth.",https://pubmed.ncbi.nlm.nih.gov/36793358/,dosimetrie_modelisation/neurodeveloppement/2023_36793358_preventing-stillbirth-from-obstructed-labor-a-sens.md
37299897,10.3390/s23115170,2023,dosimetrie_modelisation,neurodeveloppement,dosimetrie_exposition,"Sensors (Basel, Switzerland)",Assessment of Children's Exposure to Intelligent Transport System 5.9 GHz Vehicular Connectivity Using Numerical Dosimetry.,https://pubmed.ncbi.nlm.nih.gov/37299897/,dosimetrie_modelisation/neurodeveloppement/2023_37299897_assessment-of-children-s-exposure-to-intelligent-t.md
